Bot Name,Util,one,Log Analysis,Calculation2,Calculation3,Calculation1,Category,City (group),City,Country,Bot Owner,Discount,Number of Records (copy),Number of Records,Date,Postal Code,Process Name,Product ID,Product Name,Profit,Quantity,Region,Row ID,Sales,Schedule 1,Schedule,Ship Date,State,Status,Sub-Category
TB-21520,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Philadelphia,United States,Tracy Blumstein,0.2,2,1,17-09-2015,19140,US-2015-150630,OFF-EN-10001509,Poly String Tie Envelopes,1.1016,2,East,31,3.264,4,4,21-09-2015,Pennsylvania,Active,8
TB-21520,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Philadelphia,United States,Tracy Blumstein,0.2,2,1,17-09-2015,19140,US-2015-150630,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",9.709200000,6,East,32,86.304,4,4,21-09-2015,Pennsylvania,Active,3
TB-21520,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Philadelphia,United States,Tracy Blumstein,0.7,2,1,17-09-2015,19140,US-2015-150630,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",-5.715,6,East,33,6.858,4,4,21-09-2015,Pennsylvania,Active,4
TB-21520,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Philadelphia,United States,Tracy Blumstein,0.2,2,1,17-09-2015,19140,US-2015-150630,OFF-AR-10001683,Lumber Crayons,3.546,2,East,34,15.76,4,4,21-09-2015,Pennsylvania,Active,3
LC-16930,1,1,empty,empty,0.75,,Technology,"Allentown, Altoona, Anaheim and 360 more",Naperville,United States,Linda Cazamias,0.2,2,1,10-09-2017,60540,CA-2017-120999,TEC-PH-10004093,Panasonic Kx-TS550,16.5564,4,Central,42,147.168,5,5,15-09-2017,Illinois,Inactive,14
PO-18865,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Westland,France,Patrick O'Donnell,0,2,1,20-10-2014,48185,CA-2014-146703,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",8.478400000,4,Central,47,211.96,5,5,25-10-2014,Michigan,Active,15
LH-16900,1,1,empty,empty,0.75,,Technology,"Allentown, Altoona, Anaheim and 360 more",Dover,United States,Lena Hernandez,0,2,1,20-06-2016,19901,CA-2016-169194,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,4.95,3,East,48,45,5,5,25-06-2016,Delaware,Active,1
LH-16900,1,1,empty,empty,0.75,,Technology,"Allentown, Altoona, Anaheim and 360 more",Dover,United States,Lena Hernandez,0,2,1,20-06-2016,19901,CA-2016-169194,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",6.104,2,East,49,21.8,5,5,25-06-2016,Delaware,Active,14
DP-13000,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",New Albany,United States,Darren Powers,0,2,1,18-04-2015,47150,CA-2015-115742,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",17.9634,6,Central,50,38.22,4,4,22-04-2015,Indiana,Active,4
DP-13000,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",New Albany,United States,Darren Powers,0,2,1,18-04-2015,47150,CA-2015-115742,OFF-LA-10002762,Avery 485,35.3346,6,Central,51,75.18,4,4,22-04-2015,Indiana,Active,11
DP-13000,1,1,empty,empty,0.75,,Furniture,"Allentown, Altoona, Anaheim and 360 more",New Albany,United States,Darren Powers,0,2,1,18-04-2015,47150,CA-2015-115742,FUR-FU-10001706,Longer-Life Soft White Bulbs,2.9568,2,Central,52,6.16,4,4,22-04-2015,Indiana,Active,10
DP-13000,1,1,empty,empty,0.75,,Furniture,"Allentown, Altoona, Anaheim and 360 more",New Albany,United States,Darren Powers,0,2,1,18-04-2015,47150,CA-2015-115742,FUR-CH-10003061,"Global Leather Task Chair, Black",17.0981,1,Central,53,89.99,4,4,22-04-2015,Indiana,Active,6
TB-21055,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Troy,India,Ted Butterfield,0,2,1,17-06-2016,12180,CA-2016-111682,OFF-ST-10000604,Home/Office Personal File Carts,52.14,6,East,56,208.56,1,1,18-06-2016,New York,Active,15
TB-21055,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Troy,India,Ted Butterfield,0,2,1,17-06-2016,12180,CA-2016-111682,OFF-PA-10001569,Xerox 232,15.552,5,East,57,32.4,1,1,18-06-2016,New York,Active,13
TB-21055,1,1,empty,empty,0.75,,Furniture,"Allentown, Altoona, Anaheim and 360 more",Troy,India,Ted Butterfield,0.1,2,1,17-06-2016,12180,CA-2016-111682,FUR-CH-10003968,Novimex Turbo Task Chair,7.098000000,5,East,58,319.41,1,1,18-06-2016,New York,Active,6
TB-21055,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Troy,India,Ted Butterfield,0,2,1,17-06-2016,12180,CA-2016-111682,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",6.9888,2,East,59,14.56,1,1,18-06-2016,New York,Active,13
TB-21055,1,1,empty,empty,0.75,,Technology,"Allentown, Altoona, Anaheim and 360 more",Troy,India,Ted Butterfield,0,2,1,17-06-2016,12180,CA-2016-111682,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,3.3,2,East,60,30,1,1,18-06-2016,New York,Active,1
TB-21055,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Troy,India,Ted Butterfield,0.2,2,1,17-06-2016,12180,CA-2016-111682,OFF-BI-10001460,Plastic Binding Combs,16.362,4,East,61,48.48,1,1,18-06-2016,New York,Active,4
TB-21055,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Troy,India,Ted Butterfield,0,2,1,17-06-2016,12180,CA-2016-111682,OFF-AR-10001868,Prang Dustless Chalk Sticks,0.84,1,East,62,1.68,1,1,18-06-2016,New York,Active,3
TB-21520,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Jackson,France,Tracy Blumstein,0,2,1,14-09-2017,49201,CA-2017-114440,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",8.763,3,Central,72,19.05,3,3,17-09-2017,Michigan,Active,13
JC-16105,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Durham,United States,Julie Creighton,0.2,2,1,03-09-2015,27707,CA-2015-149734,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,62.8075,7,South,84,200.984,5,5,08-09-2015,North Carolina,Inactive,8
PO-18865,1,1,empty,empty,0.75,,Furniture,"Allentown, Altoona, Anaheim and 360 more",Columbia,France,Patrick O'Donnell,0,2,1,28-05-2017,29203,CA-2017-140088,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,33.2156,2,South,86,301.96,2,2,30-05-2017,South Carolina,Active,6
LC-16870,1,1,empty,empty,0.75,,Technology,"Allentown, Altoona, Anaheim and 360 more",Aurora,United States,Lena Cacioppo,0.2,2,1,13-11-2015,80013,US-2015-156867,TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,-26.8758,6,West,104,238.896,4,4,17-11-2015,Colorado,Active,1
LC-16870,1,1,empty,empty,0.75,,Furniture,"Allentown, Altoona, Anaheim and 360 more",Aurora,United States,Lena Cacioppo,0.2,2,1,13-11-2015,80013,US-2015-156867,FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",-3.838500000,3,West,105,102.36,4,4,17-11-2015,Colorado,Active,10
LC-16870,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Aurora,United States,Lena Cacioppo,0.7,2,1,13-11-2015,80013,US-2015-156867,OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",-25.8174,3,West,106,36.882,4,4,17-11-2015,Colorado,Active,4
PA-19060,1,1,empty,empty,0.75,,Technology,"Allentown, Altoona, Anaheim and 360 more",Orland Park,United States,Pete Armstrong,0.2,2,1,15-10-2015,60462,CA-2015-129476,TEC-AC-10000844,Logitech Gaming G510s - Keyboard,67.992,5,Central,110,339.96,5,5,20-10-2015,Illinois,Active,1
CV-12805,1,1,empty,empty,0.75,,Furniture,"Allentown, Altoona, Anaheim and 360 more",New York City,United States,Cynthia Voltz,0,2,1,25-12-2017,10035,CA-2017-146780,FUR-FU-10001934,Magnifier Swing Arm Lamp,10.9096,2,East,111,41.96,5,5,30-12-2017,New York,Inactive,10
CL-12565,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Urbandale,United States,Clay Ludtke,0,2,1,03-11-2016,50322,CA-2016-128867,OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",22.788,2,Central,112,75.96,7,7,10-11-2016,Iowa,Active,3
CL-12565,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Urbandale,United States,Clay Ludtke,0,2,1,03-11-2016,50322,CA-2016-128867,OFF-BI-10003981,"Avery Durable Plastic 1"" Binders",13.3476,6,Central,113,27.24,7,7,10-11-2016,Iowa,Active,4
AD-10180,1,1,empty,empty,0.75,,Furniture,"Allentown, Altoona, Anaheim and 360 more",Houston,France,Alan Dominguez,0.3,2,1,26-12-2014,77041,US-2014-152030,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,-8.579400000,3,Central,125,600.558,2,2,28-12-2014,Texas,Active,6
PF-19165,1,1,empty,empty,0.75,,Furniture,"Allentown, Altoona, Anaheim and 360 more",Bloomington,United States,Philip Fox,0.5,2,1,20-09-2014,61701,US-2014-134614,FUR-TA-10004534,Bevis 44 x 96 Conference Tables,-407.682,6,Central,126,617.7,5,5,25-09-2014,Illinois,Active,17
DW-13585,1,1,empty,empty,0.75,,Technology,"Allentown, Altoona, Anaheim and 360 more",Columbus,India,Dorothy Wardle,0.4,2,1,02-02-2017,43229,US-2017-164147,TEC-PH-10002293,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,-11.994,5,East,131,59.97,3,3,05-02-2017,Ohio,Inactive,14
DW-13585,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Columbus,India,Dorothy Wardle,0.2,2,1,02-02-2017,43229,US-2017-164147,OFF-PA-10002377,Xerox 1916,29.364,2,East,132,78.304,3,3,05-02-2017,Ohio,Inactive,13
DW-13585,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Columbus,India,Dorothy Wardle,0.2,2,1,02-02-2017,43229,US-2017-164147,OFF-FA-10002780,Staples,6.9732,9,East,133,21.456,3,3,05-02-2017,Ohio,Inactive,9
LC-16885,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Roseville,United States,Lena Creighton,0,2,1,13-10-2016,95661,CA-2016-145583,OFF-PA-10001804,Xerox 195,9.6192,3,West,134,20.04,6,6,19-10-2016,California,Active,13
LC-16885,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Roseville,United States,Lena Creighton,0,2,1,13-10-2016,95661,CA-2016-145583,OFF-PA-10001736,Xerox 1880,16.6568,1,West,135,35.44,6,6,19-10-2016,California,Active,13
LC-16885,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Roseville,United States,Lena Creighton,0,2,1,13-10-2016,95661,CA-2016-145583,OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",3.456,4,West,136,11.52,6,6,19-10-2016,California,Active,3
LC-16885,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Roseville,United States,Lena Creighton,0,2,1,13-10-2016,95661,CA-2016-145583,OFF-FA-10002988,Ideal Clamps,1.9698,2,West,137,4.02,6,6,19-10-2016,California,Active,9
LC-16885,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Roseville,United States,Lena Creighton,0.2,2,1,13-10-2016,95661,CA-2016-145583,OFF-BI-10004781,GBC Wire Binding Strips,26.6616,3,West,138,76.176,6,6,19-10-2016,California,Active,4
LC-16885,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Roseville,United States,Lena Creighton,0,2,1,13-10-2016,95661,CA-2016-145583,OFF-SU-10001218,Fiskars Softgrip Scissors,18.4464,6,West,139,65.88,6,6,19-10-2016,California,Active,16
LC-16885,1,1,empty,empty,0.75,,Furniture,"Allentown, Altoona, Anaheim and 360 more",Roseville,United States,Lena Creighton,0,2,1,13-10-2016,95661,CA-2016-145583,FUR-FU-10001706,Longer-Life Soft White Bulbs,20.6976,14,West,140,43.12,6,6,19-10-2016,California,Active,10
JD-15895,1,1,empty,empty,0.75,,Furniture,"Allentown, Altoona, Anaheim and 360 more",Philadelphia,France,Jonathan Doherty,0.2,2,1,05-09-2016,19140,CA-2016-110366,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",10.35,2,East,141,82.8,2,2,07-09-2016,Pennsylvania,Inactive,10
HA-14920,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Pasadena,United States,Helen Andreada,0,2,1,07-09-2015,91104,CA-2015-110744,OFF-ST-10003656,Safco Industrial Wire Shelving,20.1579,7,West,146,671.93,5,5,12-09-2015,California,Active,15
TW-21025,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Scottsdale,India,Tamara Willingham,0.2,2,1,13-03-2016,85254,CA-2016-158834,OFF-AP-10000326,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,17.766,5,West,152,157.92,3,3,16-03-2016,Arizona,Active,2
TW-21025,1,1,empty,empty,0.75,,Technology,"Allentown, Altoona, Anaheim and 360 more",Scottsdale,India,Tamara Willingham,0.2,2,1,13-03-2016,85254,CA-2016-158834,TEC-PH-10001254,Jabra BIZ 2300 Duo QD Duo Corded Headset,15.2388,2,West,153,203.184,3,3,16-03-2016,Arizona,Active,14
DB-13060,1,1,empty,empty,0.75,,Furniture,"Allentown, Altoona, Anaheim and 360 more",Seattle,France,Dave Brooks,0.2,2,1,01-03-2014,98115,CA-2014-104269,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,51.476400000,2,West,158,457.568,5,5,06-03-2014,Washington,Active,6
TT-21070,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Los Angeles,India,Ted Trevino,0,2,1,11-05-2016,90045,CA-2016-162733,OFF-PA-10002751,Xerox 1920,2.691,1,West,161,5.98,1,1,12-05-2016,California,Active,13
JB-15400,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Chicago,United States,Jennifer Braxton,0.8,2,1,14-09-2014,60623,US-2014-100853,OFF-AP-10000891,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,-131.12,2,Central,175,52.448,5,5,19-09-2014,Illinois,Inactive,2
JB-15400,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Chicago,United States,Jennifer Braxton,0.2,2,1,14-09-2014,60623,US-2014-100853,OFF-LA-10003148,Avery 51,6.552,4,Central,176,20.16,5,5,19-09-2014,Illinois,Inactive,11
CB-12025,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Hamilton,United States,Cassandra Brandow,0.2,2,1,21-03-2014,45011,CA-2014-140004,OFF-AR-10004685,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",1.2038,2,East,196,7.408,4,4,25-03-2014,Ohio,Active,3
CB-12025,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Hamilton,United States,Cassandra Brandow,0.2,2,1,21-03-2014,45011,CA-2014-140004,OFF-AR-10004027,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",1.5876,3,East,197,6.048,4,4,25-03-2014,Ohio,Active,3
FH-14365,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Philadelphia,United States,Fred Hopkins,0.7,2,1,06-07-2017,19120,US-2017-124303,OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",-2.2586,2,East,199,2.946,7,7,13-07-2017,Pennsylvania,Inactive,4
FH-14365,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Philadelphia,United States,Fred Hopkins,0.2,2,1,06-07-2017,19120,US-2017-124303,OFF-PA-10002749,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",5.8203,3,East,200,16.056,7,7,13-07-2017,Pennsylvania,Inactive,13
LC-17140,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Dallas,France,Logan Currie,0.8,2,1,17-12-2017,75220,US-2017-116701,OFF-AP-10003217,Eureka Sanitaire  Commercial Upright,-178.9668,2,Central,204,66.284,4,4,21-12-2017,Texas,Active,2
JH-15985,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Saginaw,United States,Joseph Holt,0,2,1,01-12-2017,48601,CA-2017-135860,OFF-ST-10000642,"Tennsco Lockers, Gray",5.874400000,4,Central,207,83.92,6,6,07-12-2017,Michigan,Active,15
JH-15985,1,1,empty,empty,0.75,,Technology,"Allentown, Altoona, Anaheim and 360 more",Saginaw,United States,Joseph Holt,0,2,1,01-12-2017,48601,CA-2017-135860,TEC-PH-10001700,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,35.6346,2,Central,208,131.98,6,6,07-12-2017,Michigan,Active,14
JH-15985,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Saginaw,United States,Joseph Holt,0,2,1,01-12-2017,48601,CA-2017-135860,OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",7.4824,4,Central,209,15.92,6,6,07-12-2017,Michigan,Active,4
JH-15985,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Saginaw,United States,Joseph Holt,0,2,1,01-12-2017,48601,CA-2017-135860,OFF-FA-10000134,"Advantus Push Pins, Aluminum Head",16.2099,9,Central,210,52.29,6,6,07-12-2017,Michigan,Active,9
JH-15985,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Saginaw,United States,Joseph Holt,0,2,1,01-12-2017,48601,CA-2017-135860,OFF-ST-10001522,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",3.679600000,1,Central,211,91.99,6,6,07-12-2017,Michigan,Active,15
VW-21775,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Medina,United States,Victoria Wilson,0.2,2,1,02-01-2015,44256,CA-2015-146262,OFF-LA-10004544,Avery 505,8.88,2,East,213,23.68,7,7,09-01-2015,Ohio,Inactive,11
VW-21775,1,1,empty,empty,0.75,,Furniture,"Allentown, Altoona, Anaheim and 360 more",Medina,United States,Victoria Wilson,0.5,2,1,02-01-2015,44256,CA-2015-146262,FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,-244.323,5,East,214,452.45,7,7,09-01-2015,Ohio,Inactive,5
VW-21775,1,1,empty,empty,0.75,,Technology,"Allentown, Altoona, Anaheim and 360 more",Medina,United States,Victoria Wilson,0.4,2,1,02-01-2015,44256,CA-2015-146262,TEC-PH-10002844,Speck Products Candyshell Flip Case,-14.6958,3,East,215,62.982,7,7,09-01-2015,Ohio,Inactive,14
VW-21775,1,1,empty,empty,0.75,,Technology,"Allentown, Altoona, Anaheim and 360 more",Medina,United States,Victoria Wilson,0.7,2,1,02-01-2015,44256,CA-2015-146262,TEC-MA-10000864,Cisco 9971 IP Video Phone Charcoal,-950.4,9,East,216,1188,7,7,09-01-2015,Ohio,Inactive,12
VW-21775,1,1,empty,empty,0.75,,Technology,"Allentown, Altoona, Anaheim and 360 more",Medina,United States,Victoria Wilson,0.2,2,1,02-01-2015,44256,CA-2015-146262,TEC-AC-10000109,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,4.479200000,2,East,217,89.584,7,7,09-01-2015,Ohio,Inactive,1
JH-15910,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Los Angeles,United States,Jonathan Howell,0,2,1,28-10-2016,90032,CA-2016-130162,OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray",26.0568,6,West,218,93.06,4,4,01-11-2016,California,Active,15
JH-15910,1,1,empty,empty,0.75,,Technology,"Allentown, Altoona, Anaheim and 360 more",Los Angeles,United States,Jonathan Howell,0.2,2,1,28-10-2016,90032,CA-2016-130162,TEC-PH-10002563,Adtran 1202752G1,22.6782,3,West,219,302.376,4,4,01-11-2016,California,Active,14
JB-15925,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Dublin,India,Joni Blumstein,0.2,2,1,24-12-2015,43017,CA-2015-169397,OFF-FA-10000585,OIC Bulk Pack Metal Binder Clips,1.8148,2,East,220,5.584,3,3,27-12-2015,Ohio,Active,9
